EOG0937004M	Pre-mRNA-processing-splicing factor 8
EOG09370BGO	THO complex 1 
EOG09370BJE	PSP, proline-rich
EOG09370BK5	TFIIH subunit Tfb1/p62
EOG09370BQO	Polyribonucleotide 5-hydroxyl-kinase Clp1
EOG09370BYX	SPRY domain
EOG09370C5A	RNA polymerase III subunit RPC82-related, helix-turn-helix
EOG09370CAN	Zinc finger, ZPR1-type
EOG09370CAV	DIS3-like exonuclease 2
EOG09370CF1	Transmembrane:Helical
EOG09370CIV	Similarity:Contains 1 KH domain.
EOG09370CK6	TFIIEalpha/SarR/Rpc3 HTH domain
EOG09370CKL	S-adenosylmethionine decarboxylase
EOG09370CRF	Similarity:Contains PCI domain.
EOG09370CTU	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
EOG09370CZ0	SAM-dependent methyltransferase TRM5/TYW2-type
EOG09370CZT	Zinc finger, RING-type
EOG09370D13	Tetratricopeptide-like helical domain
EOG09370DO5	DNA polymerase delta/II small subunit family
EOG09370DP4	NADPH:adrenodoxin oxidoreductase, mitochondrial
EOG09370DS4	Transcription initiation factor IIF, beta subunit
EOG09370DTG	Armadillo-like helical
EOG09370DV4	DNA primase, small subunit
EOG09370DX4	Active Site:Nucleophile
EOG09370DXT	SANT/Myb domain
EOG09370DYK	Mitochondrial matrix Mmp37
EOG09370E0Y	Tryptophan-tRNA ligase
EOG09370E36	Histone acetyltransferase type B, catalytic subunit
EOG09370E4U	Winged helix-turn-helix DNA-binding domain
EOG09370E4W	Bystin
EOG09370E8S	ATPase, V1 complex, subunit H
EOG09370EHZ	Glutamyl/glutaminyl-tRNA synthetase
EOG09370EL3	Similarity:Belongs to the cullin family.
EOG09370ER5	Asparagine synthase
EOG09370F1Q	apoptosis antagonizing transcription factor 
EOG09370F3T	Rad1/Rec1/Rad17
EOG09370F47	Deoxyhypusine synthase
EOG09370FKI	Plus-3 domain
EOG09370FLD	Similarity:Contains PCI domain.
EOG09370FN1	Ribosomal protein L4/L1e
EOG09370FSS	Transmembrane:Helical
EOG09370FVX	eRF1 domain 1/Pelota-like
EOG09370FWQ	Flap structure-specific endonuclease
EOG09370FXE	Transmembrane:Helical
EOG09370GC2	Vacuolar protein sorting-associate protein Vta1/Callose synthase, N-terminal domain
EOG09370GEO	Origin recognition complex, subunit 2
EOG09370GHM	Protein kinase domain
EOG09370GHP	Reduced growth phenotype protein 1
EOG09370GIK	COP9 signalosome subunit 5 
EOG09370GJ7	Similarity:Contains PCI domain.
EOG09370GK0	Transmembrane:Helical
EOG09370H3E	Arsenical pump ATPase, ArsA/GET3
EOG09370H68	U3 small nucleolar ribonucleoprotein complex, subunit Mpp10
EOG09370HBN	Cell division control protein 73, C-terminal
EOG09370HD7	Transmembrane:Helical
EOG09370HKV	Nuclear protein localization protein 4
EOG09370HVI	lipoyltransferase 1 
EOG09370I3J	ATP-dependent (S)-NAD(P)H-hydrate dehydratase
EOG09370I7R	Cytoplasmic tRNA 2-thiolation protein 1
EOG09370IF5	Glycine cleavage T-protein, C-terminal barrel domain
EOG09370IH5	MEMO1 family
EOG09370IMU	Vacuolar protein sorting protein 36, GLUE domain
EOG09370INZ	Zinc finger, RING/FYVE/PHD-type
EOG09370IUA	GPI-anchor transamidase
EOG09370J9L	mRNA (guanine-N(7))-methyltransferase
EOG09370JIK	Ribonuclease HII/HIII
EOG09370JW6	Elongator complex protein 4
EOG09370JZ3	Pseudouridine synthase I, TruA
EOG09370K15	TIP41-like protein
EOG09370K1R	ATPase, F1 complex, gamma subunit
EOG09370KD4	K Homology domain
EOG09370KGV	Active Site:Proton donor
EOG09370KJ3	Exosome complex RNA-binding protein 1/RRP40/RRP4
EOG09370KM9	N(alpha)-acetyltransferase 35, NatC auxiliary subunit 
EOG09370KOV	RNA polymerase Rpc34
EOG09370KWF	Transmembrane:Helical
EOG09370KYZ	GPN-loop GTPase
EOG09370L23	Tetrapyrrole methylase
EOG09370L77	DNA polymerase alpha, subunit B
EOG09370LFI	Ribosomal RNA adenine methylase transferase, N-terminal
EOG09370LGH	FAD dependent oxidoreductase
EOG09370LMP	Transmembrane:Helical
EOG09370LQ2	TAP42-like protein
EOG09370LYY	Mitochondrial import inner membrane translocase subunit Tim44
EOG09370M9E	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit 
EOG09370MAO	Translation initiation factor 2, alpha subunit
EOG09370MDU	Proteasome, subunit alpha/beta
EOG09370MGF	Nin one binding (NOB1) Zn-ribbon-like
EOG09370MHI	Translation initiation factor IF2/IF5
EOG09370MMK	UbiE/COQ5 methyltransferase
EOG09370MQ0	DNA/pantothenate metabolism flavoprotein, C-terminal
EOG09370MZ4	Ribosomal protein S8e/ribosomal biogenesis NSA2
EOG09370N7W	Metallo-dependent phosphatase-like
EOG09370NBT	Brix domain
EOG09370NBW	Transcription factor IIS, N-terminal
EOG09370NHX	Similarity:Belongs to the GcvT family.
EOG09370NIG	Pyridoxal phosphate (active vitamin B6) biosynthesis, pyridoxal kinase
EOG09370O06	EAP30
EOG09370O51	Electron transfer flavoprotein, beta subunit
EOG09370OFR	Glutamyl-tRNA(Gln) amidotransferase A subunit
EOG09370OGU	Eukaryotic rRNA processing
EOG09370OGW	Coatomer, epsilon subunit
EOG09370OHP	tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14
EOG09370OLY	Ribosome maturation protein SBDS, N-terminal
EOG09370OO3	Ubiquinone biosynthesis protein Coq4
EOG09370OS5	Ribosomal protein S2
EOG09370OUS	Orotidine 5'-phosphate decarboxylase
EOG09370P2W	Signal recognition particle, SRP19 subunit
EOG09370P5Q	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
EOG09370P7I	ATP synthase mitochondrial F1 complex assembly factor 2 
EOG09370P9T	UbiB domain
EOG09370PBD	Ribosomal protein S3Ae
EOG09370PLC	Alpha/Beta hydrolase fold
EOG09370PN3	Zinc finger, UBR-type
EOG09370PYJ	Methyltransferase type 11
EOG09370QBK	TFIIH subunit Tfb4/p34
EOG09370QBR	NAD(P)-binding domain
EOG09370QCX	Transmembrane:Helical
EOG09370QFD	Dephospho-CoA kinase
EOG09370QI4	DNA glycosylase
EOG09370QJ1	Zinc finger, U1-type
EOG09370QKS	RNA polymerase II subunit A
EOG09370QMM	S-adenosyl-L-methionine-dependent methyltransferase
EOG09370QT3	Ribonuclease P/MRP, subunit p29
EOG09370QVI	S-adenosyl-L-methionine-dependent methyltransferase
EOG09370R3M	Proteasome B-type subunit
EOG09370R67	Structure-specific endonuclease subunit Slx1
EOG09370RCD	DNA polymerase epsilon, subunit B
EOG09370RCQ	CWC16 protein
EOG09370RCS	Deoxyribonuclease II
EOG09370RIT	4Fe-4S ferredoxin-type, iron-sulphur binding domain
EOG09370RJN	Zinc finger, CCCH-type
EOG09370RRJ	NADH:ubiquinone oxidoreductase, 30kDa subunit
EOG09370S0F	Ribosome biogenesis protein
EOG09370S1Z	Nucleolar, Nop52
EOG09370S3E	GINS complex
EOG09370S4T	Anaphase-promoting complex, subunit 10
EOG09370SC9	DNA replication complex GINS protein Psf2
EOG09370SO4	THUMP domain
EOG09370SON	Mak16 protein
EOG09370SPQ	Transmembrane:Helical
EOG09370SV2	Vacuolar protein sorting-associated protein 29
EOG09370SYK	Splicing factor 3A subunit 1
EOG09370T6W	Similarity:Belongs to the ribosomal protein L10P family.
EOG09370T9R	K Homology domain
EOG09370TBD	Acyl-CoA N-acyltransferase
EOG09370TBG	Similarity:Contains FCP1 homology domain.
EOG09370TCX	tRNA (guanine-N-7) methyltransferase catalytic subunit Trm8, eukaryote
EOG09370TFO	Tetratricopeptide repeat
EOG09370TG2	Inosine triphosphate pyrophosphatase
EOG09370TG6	Proteasome, subunit alpha/beta
EOG09370TH4	Thymidylate kinase
EOG09370TP2	Deoxyhypusine hydroxylase
EOG09370TS7	Mediator complex, subunit Med6
EOG09370TTI	TAFII28-like protein
EOG09370U0A	Proteasome subunit Rpn10
EOG09370U71	Transmembrane:Helical
EOG09370U9P	Ribose 5-phosphate isomerase, type A
EOG09370UEC	Transmembrane:Helical
EOG09370UG9	Eukaryotic translation initiation factor 3 subunit K
EOG09370UID	Ubiquitin-conjugating enzyme E2
EOG09370UO4	Pre-mRNA-splicing factor 38
EOG09370UR1	exosome component 1 
EOG09370UR3	Ribosome biogenesis factor, NIP7
EOG09370USH	Protein YIP
EOG09370USJ	Alpha/beta knot methyltransferases
EOG09370UV4	S1 domain
EOG09370V9R	Co-chaperone Hsc20
EOG09370VFL	Eukaryotic translation initiation factor 3 subunit H
EOG09370VLM	ATPase, F1 complex, delta/epsilon subunit
EOG09370VTP	Transmembrane:Helical
EOG09370VUX	Mitotic spindle checkpoint protein Mad2
EOG09370W44	phosphopantothenoylcysteine decarboxylase 
EOG09370W6N	Prefoldin
EOG09370W86	coiled-coil domain containing 25 
EOG09370WT1	G10 protein
EOG09370WWI	PDZ domain
EOG09370WYG	V-ATPase proteolipid subunit
EOG09370WZX	GINS complex
EOG09370X1T	Trafficking protein particle complex subunit 2
EOG09370XFG	GINS complex
EOG09370XFJ	Zinc finger, C2H2-like
EOG09370XO6	Transmembrane:Helical
EOG09370Y63	Ribosomal protein S13/S15, N-terminal
EOG09370YC4	ATPase, OSCP/delta subunit
EOG09370YCN	RNA polymerase, Rpb8
EOG09370YSI	WD40 repeat
EOG09370ZI7	Fcf2 pre-rRNA processing
EOG09370ZOK	Signal recognition particle, SRP72 subunit
EOG0937106D	Ribonuclease H-like domain
EOG0937106Y	density-regulated protein 
EOG09371088	Adenylate kinase isoenzyme 6
EOG093710A7	Zinc finger, RING-type
EOG093710JH	DNA-directed RNA polymerase subunit  
EOG093710SY	Ribosomal protein L24e domain
EOG093710T1	Similarity:Belongs to the ribosomal protein L14P family.
EOG0937112Y	Small-subunit processome, Utp11
EOG093711E9	PHF5-like
EOG093711LC	ATPase, V1 complex, subunit F
EOG093711QY	Uncharacterised protein family UPF0434/Trm112
EOG093711ZO	Snf7 family
EOG0937122Q	Histone-fold
EOG0937128O	Transcription initiation Spt4
EOG0937129K	DAD/Ost2
EOG093712G8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa 
EOG093712Q6	RNA polymerase subunit, RPB6/omega
EOG09371330	D-tyrosyl-tRNA(Tyr) deacylase
EOG0937133J	Ribosomal protein L26/L24P, eukaryotic/archaeal
EOG093713HJ	Frataxin
EOG093713LY	H/ACA ribonucleoprotein complex, subunit Gar1
EOG09371431	Ribosomal protein S10
EOG093714JU	Ubiquitin-related modifier 1
EOG093714Q2	Mediator complex, subunit Med31
EOG093715EC	PDCD5-related protein
EOG09371675	LSM domain
EOG0937167R	Repressor of RNA polymerase III transcription  Maf1
EOG093716T7	Cytidine deaminase-like
EOG093717LU	RNA polymerase subunit RPB10
EOG0937183G	Transmembrane:Helical
EOG0937186Q	Transcription initiation factor TAFII31
EOG093718E9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa 
EOG093718EG	Mitochondrial import inner membrane translocase subunit Tim10/Tim12
EOG0937192A	Polymerase/histidinol phosphatase-like
EOG093719IK	Prefoldin
EOG093719M8	Tubulin binding cofactor A
EOG09371BIR	Prefoldin
